第1页

1. 我在制作组负责了
选项,百分比%,小计
美术（如贴图）,3.3%,1
模型,3.3%,1
建筑（主体）,53.3%,16
内饰,20.0%,6
地形,6.7%,2
世界架构（设定）,23.3%,7
城区规划,10.0%,3
文案（NPC）,10.0%,3
编剧,23.3%,7
宣传（视频）,3.3%,1
社区管理,10.0%,3
群里划水,73.3%,22
有效填写量,,30

2. 地图制作结束后是否想要把这个地图做成可以游玩的模式（就是说不仅仅包括建筑）
选项,百分比%,小计
可以（我想做一个游戏世界，有剧情和进度）,100.0%,30
不想（我想做一个建筑世界，目的是让别人来参观建筑/世界观）,0.0%,0
有效填写量,,30

3. 在游玩的时候：
选项,百分比%,小计
只有我一个人玩,10.0%,3
偶尔和1-2个好友一起玩，其他时候自己玩,60.0%,18
只有和好友一起我才会玩,30.0%,9
有效填写量,,30

4. 如果我最后会游玩这个地图，那么我希望这个地图能
选项,百分比%,小计
引导参观地图/了解世界观,86.7%,26
剧情的史诗感,70.0%,21
给我变得更强的成就感,33.3%,10
和朋友一起联机,66.7%,20
其他____{fillblank-3d15},10.0%,3
有效填写量,,30

5. 我认为，一个有趣的MC地图应该跟注重
选项,排序第1,排序第2,排序第3,综合排序
剧情，设定是否独特,14,13,3,1
玩法，游戏是否平衡,5,6,19,3
建筑，美术风格是否吸引我,11,11,8,2
有效填写量,30

6. 在游玩过程中，玩家是否应该有能力的提升
选项,百分比%,小计
不需要/较少的提升，玩家更多是过剧情/引导参观世界,10.0%,3
轻量级的能力提升，比如等级装备，但是仍然是为了剧情服务,53.3%,16
需要比较复杂的机制，比如技能树/魔法，同时一定程度上兼顾剧情,36.7%,11
不需要剧情，打架就完事了,0.0%,0
有效填写量,,30

7. 对于游戏时间
选项,百分比%,小计
我希望不肝，只用过剧情就行，不需要额外花时间提升自己（剧情会给大部分道具）,40.0%,12
可以接受卡剧情（比如通过过强的怪/等级需求/特殊道具需求）来延长游戏时间,53.3%,16
喜欢刷子游戏，可以接受花很长时间刷取稀有道具,6.7%,2
有效填写量,,30

8. 对于PVP，我跟倾向于
选项,百分比%,小计
无PVP（仅限虚空PVP）,16.7%,5
偶尔有个玩法可以PVP，比如竞技场,70.0%,21
高强度PVP（野外杀人？）,13.3%,4
有效填写量,,30

9. 是否想要参与到剧情和NPC的设定
选项,百分比%,小计
是,80.0%,24
否,20.0%,6
有效填写量,,30

10. 对于参与度
选项,百分比%,小计
我只参与一部分（比如只画贴图，不写文案）,29.2%,7
想要全程参与/负责一个NPC，从设定到落成（即使有一部分不会我可以学）,33.3%,8
全程参与，但如果有小部分不会我会交给别人（比如不会画贴图）,29.2%,7
其他____{fillblank-085a},8.3%,2
有效填写量,,24

11. 对于实装（从文档到地图里）这些设定/任务
选项,百分比%,小计
我希望我能亲自把NPC的对话/任务加入游戏,37.5%,9
我只提供设定/贴图，具体怎么加交给技术部了,50.0%,12
其他____{fillblank-0470},12.5%,3
有效填写量,,24

12. 如果需要亲手实装这些设定/任务，那么
选项,百分比%,小计
在实装时，我希望全程只用游戏内交互,29.2%,7
可以接受一部分游戏内，一部分用游戏外的txt文件（根据格式）设定,37.5%,9
我可以接受全部在游戏外写，比如写config文件,25.0%,6
其他____{fillblank-0603},8.3%,2
有效填写量,,24

